date,hour,demand,solar,tariff,battery_capacity,battery_initial,battery_minimum,battery_maxCharge,battery_maxDischarge
2026-09-22,0,180,0,7.5,600,300,60,120,120
2026-09-22,1,160,0,7.5,600,300,60,120,120
2026-09-22,2,150,0,7.2,600,300,60,120,120
2026-09-22,3,145,0,7.2,600,300,60,120,120
2026-09-22,4,150,0,7.2,600,300,60,120,120
2026-09-22,5,170,5,7.5,600,300,60,120,120
2026-09-22,6,210,20,8.0,600,300,60,120,120
2026-09-22,7,260,55,8.5,600,300,60,120,120
2026-09-22,8,320,110,9.0,600,300,60,120,120
2026-09-22,9,380,180,9.5,600,300,60,120,120
2026-09-22,10,420,260,10.0,600,300,60,120,120
2026-09-22,11,450,320,10.5,600,300,60,120,120
2026-09-22,12,470,360,11.0,600,300,60,120,120
2026-09-22,13,460,350,11.0,600,300,60,120,120
2026-09-22,14,440,310,10.5,600,300,60,120,120
2026-09-22,15,410,250,10.0,600,300,60,120,120
2026-09-22,16,380,170,9.5,600,300,60,120,120
2026-09-22,17,360,90,9.5,600,300,60,120,120
2026-09-22,18,370,30,10.5,600,300,60,120,120
2026-09-22,19,400,5,11.5,600,300,60,120,120
2026-09-22,20,360,0,10.5,600,300,60,120,120
2026-09-22,21,300,0,9.5,600,300,60,120,120
2026-09-22,22,240,0,8.5,600,300,60,120,120
2026-09-22,23,200,0,8.0,600,300,60,120,120
